Province,Cases,Year,Code_GADM,Name_GADM
BİNGÖL,1,2006,TUR.17_1,Bing�l
BİTLİS,0,2006,TUR.18_1,Bitlis
BALIKESİR,2,2006,TUR.12_1,Balikesir
BARTIN,0,2006,TUR.13_1,Bartin
BATMAN,0,2006,TUR.14_1,Batman
BAYBURT,1,2006,TUR.15_1,Bayburt
BOLU,7,2006,TUR.19_1,Bolu
BURDUR,0,2006,TUR.20_1,Burdur
BURSA,2,2006,TUR.21_1,Bursa
DİYARBAKIR,1,2006,TUR.26_1,Diyarbakir
DÜZCE,0,2006,TUR.27_1,D�zce
DENİZLİ,0,2006,TUR.25_1,Denizli
EDİRNE,0,2006,TUR.28_1,Edirne
ELAZIĞ,0,2006,TUR.29_1,Elazig
ERZİNCAN,8,2006,TUR.30_1,Erzincan
ERZURUM,35,2006,TUR.31_1,Erzurum
ESKİŞEHİR,1,2006,TUR.32_1,Eskisehir
GİRESUN,6,2006,TUR.34_1,Giresun
GÜMÜŞHANE,27,2006,TUR.35_1,G�m�shane
GAZİANTEP,0,2006,TUR.33_1,Gaziantep
HAKKARİ,0,2006,TUR.36_1,Hakkari
HATAY,1,2006,TUR.37_1,Hatay
IĞDIR,0,2006,TUR.38_1,Igdir
ISPARTA,2,2006,TUR.39_1,Isparta
KİLİS,0,2006,TUR.48_1,Kilis
KAHRAMANMARAŞ,0,2006,TUR.42_1,K. Maras
KÜTAHYA,3,2006,TUR.54_1,K�tahya
KARABÜK,6,2006,TUR.43_1,Karab�k
KARAMAN,0,2006,TUR.44_1,Karaman
KARS,0,2006,TUR.45_1,Kars
KASTAMONU,9,2006,TUR.46_1,Kastamonu
KAYSERİ,1,2006,TUR.47_1,Kayseri
KIRŞEHİR,2,2006,TUR.51_1,Kirsehir
KIRIKKALE,2,2006,TUR.49_1,Kinkkale
KIRKLARELİ,1,2006,TUR.50_1,Kirklareli
KOCAELİ,1,2006,TUR.52_1,Kocaeli
KONYA,0,2006,TUR.53_1,Konya
MALATYA,1,2006,TUR.55_1,Malatya
MANİSA,0,2006,TUR.56_1,Manisa
MARDİN,2,2006,TUR.57_1,Mardin
MERSİN,2,2006,TUR.58_1,Mersin
MUŞ,0,2006,TUR.60_1,Mus
MUĞLA,2,2006,TUR.59_1,Mugla
NİĞDE,0,2006,TUR.62_1,Nigde
NEVŞEHİR,1,2006,TUR.61_1,Nevsehir
ORDU,0,2006,TUR.63_1,Ordu
OSMANİYE,0,2006,TUR.64_1,Osmaniye
RİZE,1,2006,TUR.65_1,Rize
SİİRT,0,2006,TUR.69_1,Siirt
SİNOP,0,2006,TUR.70_1,Sinop
SİVAS,40,2006,TUR.72_1,Sivas
SAKARYA,0,2006,TUR.66_1,Sakarya
SAMSUN,6,2006,TUR.67_1,Samsun
TEKİRDAĞ,0,2006,TUR.73_1,Tekirdag
TOKAT,89,2006,TUR.74_1,Tokat
TRABZON,0,2006,TUR.75_1,Trabzon
TUNCELİ,2,2006,TUR.76_1,Tunceli
UŞAK,0,2006,TUR.77_1,Usak
VAN,0,2006,TUR.78_1,Van
YALOVA,0,2006,TUR.79_1,Yalova
YOZGAT,52,2006,TUR.80_1,Yozgat
ZONGULDAK,0,2006,TUR.81_1,Zinguldak
İSTANBUL,11,2007,TUR.40_1,Istanbul
İZMİR,0,2007,TUR.41_1,Izmir
ÇANAKKALE,0,2007,TUR.22_1,�anakkale
ÇANKIRI,29,2007,TUR.23_1,�ankiri
ÇORUM,85,2007,TUR.24_1,�orum
AĞRI,0,2007,TUR.4_1,Agri
ADANA,2,2007,TUR.1_1,Adana
ADIYAMAN,1,2007,TUR.2_1,Adiyaman
AFYONKARAHİSAR,3,2007,TUR.3_1,Afyon
AKSARAY,0,2007,TUR.5_1,Aksaray
AMASYA,28,2007,TUR.6_1,Amasya
ANKARA,22,2007,TUR.7_1,Ankara
ANTALYA,3,2007,TUR.8_1,Antalya
ARDAHAN,0,2007,TUR.9_1,Ardahan
ARTVİN,13,2007,TUR.10_1,Artvin
AYDIN,15,2007,TUR.11_1,Aydin
ŞANLIURFA,0,2007,TUR.68_1,Sanliurfa
ŞIRNAK,0,2007,TUR.71_1,Sirnak
BİLECİK,1,2007,TUR.16_1,Bilecik
BİNGÖL,0,2007,TUR.17_1,Bing�l
BİTLİS,0,2007,TUR.18_1,Bitlis
BALIKESİR,3,2007,TUR.12_1,Balikesir
BARTIN,0,2007,TUR.13_1,Bartin
BATMAN,0,2007,TUR.14_1,Batman
BAYBURT,2,2007,TUR.15_1,Bayburt
BOLU,14,2007,TUR.19_1,Bolu
BURDUR,0,2007,TUR.20_1,Burdur
BURSA,0,2007,TUR.21_1,Bursa
DİYARBAKIR,0,2007,TUR.26_1,Diyarbakir
DÜZCE,0,2007,TUR.27_1,D�zce
DENİZLİ,0,2007,TUR.25_1,Denizli
EDİRNE,1,2007,TUR.28_1,Edirne
ELAZIĞ,1,2007,TUR.29_1,Elazig
ERZİNCAN,13,2007,TUR.30_1,Erzincan
ERZURUM,41,2007,TUR.31_1,Erzurum
ESKİŞEHİR,4,2007,TUR.32_1,Eskisehir
GİRESUN,24,2007,TUR.34_1,Giresun
GÜMÜŞHANE,27,2007,TUR.35_1,G�m�shane
GAZİANTEP,2,2007,TUR.33_1,Gaziantep
HAKKARİ,0,2007,TUR.36_1,Hakkari
HATAY,0,2007,TUR.37_1,Hatay
IĞDIR,0,2007,TUR.38_1,Igdir
ISPARTA,0,2007,TUR.39_1,Isparta
KİLİS,0,2007,TUR.48_1,Kilis
KAHRAMANMARAŞ,0,2007,TUR.42_1,K. Maras
KÜTAHYA,6,2007,TUR.54_1,K�tahya
KARABÜK,20,2007,TUR.43_1,Karab�k
KARAMAN,0,2007,TUR.44_1,Karaman
KARS,1,2007,TUR.45_1,Kars
KASTAMONU,32,2007,TUR.46_1,Kastamonu
KAYSERİ,8,2007,TUR.47_1,Kayseri
KIRŞEHİR,1,2007,TUR.51_1,Kirsehir
KIRIKKALE,0,2007,TUR.49_1,Kinkkale
KIRKLARELİ,0,2007,TUR.50_1,Kirklareli
KOCAELİ,1,2007,TUR.52_1,Kocaeli
KONYA,5,2007,TUR.53_1,Konya
MALATYA,3,2007,TUR.55_1,Malatya
