"ADMcode","Admin_name","Longitude","Latitude","tmean_change","precip_change","tmean_anomaly","precip_anomaly","forest_cover","forest_loss","crop_cover","crop_expansion","urban_cover","urban_expansion","evi_dissimilarity","livestock_all","health_travel","mining","biodiv_intact","protected_areas","hunting","social_vulnerability","tmean","precip"
"18_153","Sullivan",-87.4146822516889,39.0887490406644,0.431173950433731,151.357070922852,0.917466700077057,0.556234121322632,0.331341080904882,0.006535281,0.49399465612028,0.0232934526639086,0.017353898820551,0.00320718251168728,3.76379656791687,38.186954498291,14.9904270172119,0.0192430522292852,0.716409981250763,0.0601354725658894,NA,58.5785293579102,13.0902376174927,1170.88049316406
"19_123","Mahaska",-92.6409096191483,41.335139426853,0.762284398078918,89.4111709594727,0.803658783435822,0.264769852161407,0.124900849502472,0.000111105,0.676595894808396,0.0186338264504346,0.0198959583531161,0.000242129375692457,3.65751099586487,229.416595458984,11.2180070877075,0,0.687056481838226,0.0169541165232658,NA,59.5060348510742,10.6243782043457,987.202697753906
"21_117","Kenton",-84.5332917223968,38.9333071978254,0.370233952999115,136.790481567383,0.817019999027252,0.555442452430725,0.46768532608532,0.006263384,0.0795281430701901,0.0311819181135911,0.198430979282293,0.0265595652163029,4.06742286682129,16.8405799865723,4.70177125930786,0,0.86357319355011,0.00761396531015635,NA,37.3445816040039,12.7776985168457,1176.89404296875
"29_186","Ste. Genevieve",-90.1944735871982,37.8943247598218,0.323507457971573,163.589279174805,0.791655004024506,0.505178868770599,0.639160549326013,0.012114458,0.11624065405466,0.0274383532287819,0.0136066181655371,0.000926825683563948,2.95622038841248,16.5595588684082,16.8429126739502,0.00524707045406103,0.794689536094666,0.0267240013927221,NA,60.0163993835449,13.9862995147705,1115.927734375
"31_99","Kearney",-98.9480307408788,40.5066594517725,1.13183331489563,3.82825255393982,0.911199748516083,0.123944982886314,0.0115646104239813,0,0.833637247338368,0.0194272937950205,0.00900473185666368,0.000327071320498362,5.40965700149536,64.6227111816406,9.82347869873047,0,0.626735985279083,0.00308540766127408,NA,59.1804237365723,11.3205757141113,704.207824707031
"21_105","Hickman",-88.9760829488292,36.6781320643289,0.299618065357208,145.113006591797,0.815497398376465,0.387783408164978,0.282864357937696,0.021906681,0.490202735010821,0.0656666591615536,0.0140267604252228,0,3.36950945854187,33.401008605957,17.7228946685791,0,0.69169819355011,0.0409531705081463,NA,61.6739463806152,15.5317220687866,1285.09020996094
"13_247","Rockdale",-84.0266343204323,33.6542244900836,0.416239619255066,129.535919189453,0.923548400402069,0.477973729372025,0.632065475361465,0.101245454,0.0168198309665632,0.00121199678999637,0.166147338873113,0.0692138820886612,3.85114049911499,3.67883801460266,4.83033084869385,0,0.930306375026703,0.0159145351499319,NA,39.0965957641602,16.961483001709,1177.15832519531
"17_77","Jackson",-89.382076591148,37.7850924077272,0.341600865125656,161.5556640625,0.836148083209991,0.442165464162827,0.480684490973227,0.002799515,0.29394699280319,0.0287476631046273,0.0275490457222923,0.00014789380657021,3.54101943969727,10.0460109710693,16.1199741363525,0.00225088675506413,0.751977562904358,0.151643067598343,NA,57.0177688598633,14.4842710494995,1146.88598632812
"18_183","Whitley",-85.5051320495687,41.1393313874365,0.546400845050812,28.5192089080811,1.01922798156738,0.208779841661453,0.174032517183607,0,0.613420190464075,0.0245493286453319,0.0360797955400653,0.008377680554986,3.71979212760925,64.336296081543,11.1001377105713,0,0.767886221408844,0.00305273127742112,NA,57.0979919433594,10.444972038269,1042.15942382812
"27_7","Beltrami",-94.9360952307555,47.9724686511864,1.21794891357422,-18.8474864959717,0.9213787317276,0.336933583021164,0.521343511570735,0.066531315,0.0642916194006458,0.0234423641956616,0.00498672271170953,0.000217035267269239,3.3200695514679,2.99794602394104,61.4127235412598,0,0.776744365692139,0.193172663450241,NA,61.1745719909668,4.69780778884888,742.799133300781
"19_15","Boone",-93.9316336117948,42.0364260064734,0.921353459358215,109.694686889648,0.794070780277252,0.322914779186249,0.136177847119955,0,0.738929081683369,0.00241655322927997,0.0218341929104003,0.000960306148044765,3.40960741043091,117.633163452148,9.56963348388672,0,0.700841069221497,0.0248474590480328,NA,58.3496437072754,9.78481864929199,982.124633789062
"31_45","Dawes",-103.135387487352,42.7194860921945,1.2081116437912,6.51989555358887,1.23772168159485,-0.102715358138084,0.054217207883147,0.00752381,0.101676249361674,0.0211146986464951,0.00350313643953648,0.00019395659910515,2.55237865447998,19.7477836608887,25.6176223754883,2.62616576947039e-05,0.530316531658173,0.0120158065110445,NA,60.0924491882324,9.79097557067871,528.48681640625
"29_229","Wright",-92.4687094856147,37.2700313662689,0.346178382635117,168.665878295898,0.798453450202942,0.426649212837219,0.520838299962584,0.029804409,0.0948216023760114,0.0468579595151212,0.0111897418031598,0,2.81645393371582,41.6426086425781,26.0913524627686,0,0.762811779975891,0.00540888076648116,NA,62.2781944274902,13.6580371856689,1121.84289550781
"30_41","Hill",-110.110960219665,48.6279054423446,1.23203670978546,19.1775341033936,0.441184341907501,0.0319665931165218,0.0269346912175637,0.001645791,0.420297245412353,0.0932283516626679,0.00301316284895949,0.00037729530595243,2.48344826698303,3.69753885269165,44.8300285339355,0,0.566384971141815,0.0058477777056396,NA,60.8330421447754,6.82938623428345,412.830413818359
"31_5","Arthur",-101.695794366474,41.5689288046109,1.27973568439484,-0.20009309053421,1.29077851772308,0.0771416574716568,0.00852101155310892,0,0.0469860221187578,0.00244694440903537,0.000950724643790193,0,2.52983021736145,14.8569679260254,55.4210777282715,0,0.510088205337524,0.00276679079979658,NA,63.3550033569336,9.85111713409424,562.789916992188
"12_43","Glades",-81.1892210478387,26.9564449870728,0.645339369773865,117.096336364746,0.883284986019135,0.654811799526215,0.185231705730213,0.059613707,0.0810722080328732,0.0182230423815273,0.0056018020486281,0.000733449531253427,2.32678294181824,32.3538284301758,41.9005470275879,0,0.703870236873627,0.0494328588247299,NA,58.973030090332,23.4530296325684,1123.05285644531
"39_15","Brown",-83.8672799898439,38.9337981668267,0.356472760438919,144.227416992188,0.816381275653839,0.485462039709091,0.390703622884944,0.000656637,0.363678207041327,0.0595254567296187,0.0293770635448899,0.00233971304260194,3.22608351707458,18.3504180908203,9.03030776977539,0,0.800366997718811,0.00784631352871656,NA,57.2883682250977,12.6519718170166,1205.58911132812
