"Disease","Pathogen","DataType","Country","Year","Longitude","Latitude","NumCases","LocationName","Admin_name","IfPolygon_AdminLevel","ADMcode","ADMSource","Source"
"Lassa fever","Lassa arenavirus","point","Nigeria",2009,7.007,6.27,1,"Not specified","Anambra State",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Nigeria",2009,6.21,6.73,2,"Irrua","Edo State",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Nigeria",2010,6.21,6.73,37,"Irrua","Edo State",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Nigeria",2010,6.78,6.17,1,"Onitsha","East Central State",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Nigeria",2010,8.09,6.32,2,"Abakaliki","Ebonyi State",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Nigeria",2010,7.48,9.05,1,"Abuja","Federal Capital Territory",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Nigeria",2010,8.9,9.92,3,"Jos","Plateau State",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",2010,-12.04,8.88,6,"Makeni","Tonkolili",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Ghana",2011,-1.94,6.45,1,"Not specified","Amansie West",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Ghana",2011,-1.94,6.45,1,"Not specified","Amansie West",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Ghana",2011,-0.85,9.41,1,"Not specified","West Akim",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Ghana",2013,-0.64,5.83,2,"Accra","Not specified",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Benin",2014,1.67,10.78,15,"Tanguieta-Materi-Cobly","Atakora Department",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Nigeria",2014,8.12,6.32,6,"Abakaliki","Ebonyi State",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Nigeria",2014,3.91,7.4,1,"Ibadan","Oyo State",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",2014,-13.131,8.412,36,"Jui","Wester Area Rural",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Nigeria",2016,8.52,8.48,2,"Not specified","Plateau State",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",2016,-10.5,7.593,1,"Nyiama","Kailahun District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Guinea",2019,-12.085,10.375,1,"Mamou","",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Togo",2019,1.116,9.804,1,"","Dofelgou district, Kara",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Benin",2018,2.337,6.393,1,"Cotonou","Cotonou",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Liberia",2018,-8.473,7.355,2,"Gbehlay-Geh district","Nimba",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Liberia",2018,-10.349,6.53,2,"Kakata","Margibi County",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Nigeria",2017,3.888,8.669,1,"Shaki (reported Benin)","Shaki",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Burkina Faso",2017,0.053,11.504,1,"","Ouargaye district",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Mali",2016,-7.98,12.54,2,"Bamako","Bamako",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Togo",2016,0.63,10.61,2,"Hopital Esperance","Oti district",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2013,7.37245063171184,5.11310707645891,1,"Abia state","Aba North",2,"NG001001","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2012,8.21965380561357,6.25985147453837,9,"Ebonyi state","Abakaliki",2,"NG011001","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2014,8.21965380561357,6.25985147453837,13,"Ebonyi state","Abakaliki",2,"NG011001","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2016,8.21965380561357,6.25985147453837,2,"Ebonyi state","Abakaliki",2,"NG011001","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,8.21965380561357,6.25985147453837,24,"Ebonyi state","Abakaliki",2,"NG011001","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2019,8.21965380561357,6.25985147453837,30,"Ebonyi state","Abakaliki",2,"NG011001","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2016,3.36126332653284,7.15296420844192,2,"Ogun state","Abeokuta South",2,"NG028002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2017,3.36126332653284,7.15296420844192,5,"Ogun state","Abeokuta South",2,"NG028002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2012,7.40564230737125,8.9404367346816,1,"Federal Capital Territory state","Abuja Municipal",2,"NG015002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2016,7.40564230737125,8.9404367346816,2,"Federal Capital Territory state","Abuja Municipal",2,"NG015002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,7.40564230737125,8.9404367346816,3,"Federal Capital Territory state","Abuja Municipal",2,"NG015002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2016,3.08735601918646,6.62186759395431,1,"Ogun state","Ado-Odo/Ota",2,"NG028003","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,5.26847704908647,7.61184417558075,2,"Ekiti state","Ado Ekiti",2,"NG013001","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,7.92364440548645,5.8798768304695,2,"Ebonyi state","Afikpo North",2,"NG011002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2019,7.92364440548645,5.8798768304695,1,"Ebonyi state","Afikpo North",2,"NG011002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2017,6.59461318156598,7.51330146873968,1,"Kogi state","Ajaokuta",2,"NG023002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,6.59461318156598,7.51330146873968,2,"Kogi state","Ajaokuta",2,"NG023002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,6.1360340951569,7.36290942823,2,"Edo state","Akoko-Edo",2,"NG012001","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2019,6.1360340951569,7.36290942823,3,"Edo state","Akoko-Edo",2,"NG012001","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2019,5.78378991753659,7.63443415210578,2,"Ondo state","Akoko North West",2,"NG029002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2017,5.90990573929058,7.4289896233302,1,"Ondo state","Akoko South East",2,"NG029003","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2019,5.90990573929058,7.4289896233302,4,"Ondo state","Akoko South East",2,"NG029003","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2017,5.69560299828799,7.40475015059556,1,"Ondo state","Akoko South West",2,"NG029004","Redding2021_shapefile","Redding2021"
