"Disease","Pathogen","DataType","Country","Year","Longitude","Latitude","LocationName","Admin_name","IfPolygon_AdminLevel","ADMcode","ADMSource","Source"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2011,111.9475,1.2227,"Batang Ai National Park","Sarawak State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2009,113.82188,2.16453,"Kapit Division","Sarawak State","para_ras1","GADM2_MYS.14.10_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2010,115.26369,3.35115,"flight route in Miri Division","Sarawak State","para_ras2","GADM2_MYS.14.19_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.65763,3.45063,"site 1, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.43715,3.61694,"site 2, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.58823,3.34493,"site 3, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.63022,3.26217,"site 4, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.595,3.22031,"site 5, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.78473,3.22233,"site 6, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.63568,3.2968,"site 7, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.83302,3.11934,"site 8, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
